"Booking No","Ticket Type","Ticket Count","Ticket Amount","Processing Fee","Ticket Fee","Platform Fee","Agent Fee","Discount Amount","Grand Total","Payment Status","Booking Status","Event Name","Organizer","Venue","Created Date","Stripe Revenue","Eventox Revenue","Organizer Revenue","Refund Amount","Actions"
"EV1749429794978MES1XU","Family Of 4 -(2 adults and 2 kids)","4","140","3.5","2","0","0","0","145.5","paid","confirmed","Auckland Malayali Samajam Onaghosham 2025","Auckland Malayali Samajam","","2025-06-09T00:43:15.012Z","4.23","1.27","140","0",""
"EV1749432782952AD0RTE","Family Of 4 -(2 adults and 2 kids)","4","140","3.5","2","0","0","0","145.5","paid","confirmed","Auckland Malayali Samajam Onaghosham 2025","Auckland Malayali Samajam","","2025-06-09T01:33:02.991Z","4.23","1.27","140","0",""
"EV1749432988879EKAEQA","Individual Pass","1","75","1.88","0.5","0","0","0","77.38","paid","confirmed","Auckland Malayali Samajam Onaghosham 2025","Auckland Malayali Samajam","","2025-06-09T01:36:28.912Z","2.39","-0.01","75","0",""
"EV1749439399304YXCQHZ","General Admission","1","35","0.88","0.5","0","0","0","36.38","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-09T03:23:19.336Z","1.28","0.1","35","0",""
"EV1749444614413JYQO2S","Student","3","90","2.25","1.5","0","0","0","93.75","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","CHRISTCHURCH","2025-06-09T04:50:14.449Z","2.83","0.92","90","0",""
"EV17494486479757NARIY","General Admission","1","35","0.88","0.5","0","0","0","36.38","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","CHRISTCHURCH","2025-06-09T05:57:28.014Z","1.28","0.1","35","0",""
"EV1749453008424UYI2N4","General Admission","4","140","3.5","2","0","0","0","145.5","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-09T07:10:08.435Z","4.23","1.27","140","0",""
"EV1749456601519EPYEEC","Family Of 4 -(2 adults and 2 kids)","4","140","3.5","2","0","0","0","145.5","cancelled","cancelled","Auckland Malayali Samajam Onaghosham 2025","Auckland Malayali Samajam","","2025-06-09T08:10:01.525Z","4.23","1.27","140","0",""
"EV1749457024209V7UP0X","Family Of 4 -(2 adults and 2 kids)","4","200","5","2","0","0","0","207","cancelled","cancelled","Auckland Malayali Samajam Onaghosham 2025","Auckland Malayali Samajam","","2025-06-09T08:17:04.217Z","5.89","1.11","200","0",""
"EV17494573429877CZEU2","Family Of 4 -(2 adults and 2 kids)","4","160","4","2","0","0","0","166","paid","confirmed","Auckland Malayali Samajam Onaghosham 2025","Auckland Malayali Samajam","","2025-06-09T08:22:23.019Z","4.78","1.22","160","0",""
"EV1749460543157B3AL41","Student","1","30","0.75","0.5","0","0","0","31.25","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","CHRISTCHURCH","2025-06-09T09:15:43.191Z","1.14","0.11","30","0",""
"EV1749508674414MRQKM4","Family Of 4 -(2 adults and 2 kids)","4","140","3.5","2","0","0","0","145.5","paid","confirmed","Auckland Malayali Samajam Onaghosham 2025","Auckland Malayali Samajam","","2025-06-09T22:37:54.446Z","4.23","1.27","140","0",""
"EV1749522511104AHR8FM","Student","1","30","0.75","0.5","0","0","0","31.25","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-10T02:28:31.116Z","1.14","0.11","30","0",""
"EV17495230824349J3D0E","General Admission","1","35","0.88","0.5","0","0","0","36.38","cancelled","cancelled","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-10T02:38:02.442Z","1.28","0.1","35","0",""
"EV1749523366991UDBRRO","General Admission","1","35","0.88","0.5","0","0","0","36.38","cancelled","cancelled","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-10T02:42:46.998Z","1.28","0.1","35","0",""
"EV1749526271933XCTPKP","General Admission","1","35","0.88","0.5","0","0","0","36.38","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-10T03:31:11.942Z","1.28","0.1","35","0",""
"EV17495351108152OBMZ1","Student","1","30","0.75","0.5","0","0","0","31.25","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-10T05:58:30.850Z","1.14","0.11","30","0",""
"EV1749541256157B3C0YU","Individual Pass","4","240","6","2","0","0","0","248","paid","confirmed","Auckland Malayali Samajam Onaghosham 2025","Auckland Malayali Samajam","","2025-06-10T07:40:56.186Z","7","1","240","0",""
"EV1749618803756HNV4W4","Group of 5 Ticket","5","165","4.13","2.5","0","0","0","171.63","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","CHRISTCHURCH","2025-06-11T05:13:23.797Z","4.93","1.7","165","0",""
"EV17496193251769S9NO3","Student","1","30","0.75","0.5","0","0","0","31.25","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","CHRISTCHURCH","2025-06-11T05:22:05.215Z","1.14","0.11","30","0",""
"EV1749620831288ZZ7W85","Family Of 4 -(2 adults and 2 kids)","5","165","4.13","2.5","0","0","0","171.63","paid","confirmed","Auckland Malayali Samajam Onaghosham 2025","Auckland Malayali Samajam","","2025-06-11T05:47:11.318Z","4.93","1.7","165","0",""
"EV1749623868661TCLWGL","Individual Member Pass","4","100","2.5","2","0","0","0","104.5","paid","confirmed","Auckland Malayali Samajam Onaghosham 2025","Auckland Malayali Samajam","","2025-06-11T06:37:48.672Z","3.12","1.38","100","0",""
"EV1749624744687SIFOJW","Student","1","30","0.75","0.5","0","0","0","31.25","cancelled","cancelled","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-11T06:52:24.734Z","1.14","0.11","30","0",""
"EV1749627620714NRVC2J","General Admission","2","70","1.75","1","0","0","0","72.75","cancelled","cancelled","Naadan Vibe NZ","Karnival Lights and Shelz Media
","CHRISTCHURCH","2025-06-11T07:40:20.741Z","2.26","0.49","70","0",""
"EV1749633507229ERWAWB","Student","1","30","0.75","0.5","0","0","0","31.25","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-11T09:18:27.260Z","1.14","0.11","30","0",""
"EV1749634863156ZA7XM0","General Admission","2","70","1.75","1","0","0","0","72.75","cancelled","cancelled","Naadan Vibe NZ","Karnival Lights and Shelz Media
","CHRISTCHURCH","2025-06-11T09:41:03.168Z","2.26","0.49","70","0",""
"EV1749634930538GMXV62","Adults","3","83","2.08","1.5","0","0","0","86.58","paid","confirmed","Onam Mega Show 2025 Live with Rimi Tomy – Ponnonam Night","Dadas New zealand","","2025-06-11T09:42:10.572Z","2.64","0.94","83","0",""
"EV1749634945183ZOACKF","General Admission","2","70","1.75","1","0","0","0","72.75","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","CHRISTCHURCH","2025-06-11T09:42:25.219Z","2.26","0.49","70","0",""
"EV1749637409705KOK4ED","General Admission","2","70","1.75","1","0","0","0","72.75","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-11T10:23:29.730Z","2.26","0.49","70","0",""
"EV1749640499298BHGQ2J","Student","2","60","1.5","1","0","0","0","62.5","cancelled","cancelled","Naadan Vibe NZ","Karnival Lights and Shelz Media
","CHRISTCHURCH","2025-06-11T11:14:59.305Z","1.99","0.51","60","0",""
"EV1749640647127L1UAGD","Student","2","60","1.5","1","0","0","0","62.5","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","CHRISTCHURCH","2025-06-11T11:17:27.134Z","1.99","0.51","60","0",""
"EV174964067831571R7KA","Student","2","60","1.5","1","0","0","0","62.5","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","CHRISTCHURCH","2025-06-11T11:17:58.320Z","1.99","0.51","60","0",""
"EV1749641927943FDMA38","Student","2","60","1.5","1","0","0","0","62.5","failed","failed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","CHRISTCHURCH","2025-06-11T11:38:47.949Z","1.99","0.51","60","0",""
"EV1749642176262XL15GC","Student","2","60","1.5","1","0","0","0","62.5","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","CHRISTCHURCH","2025-06-11T11:42:56.268Z","1.99","0.51","60","0",""
"EV1749652044277D4ST89","Individual Member Pass","1","49","1.23","0.5","0","0","0","50.73","cancelled","cancelled","Auckland Malayali Samajam Onaghosham 2025","Auckland Malayali Samajam","","2025-06-11T14:27:24.311Z","1.67","0.06","49","0",""
"EV1749678798224KHYIGZ","General Admission","1","35","0.88","0.5","0","0","0","36.38","cancelled","cancelled","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-11T21:53:18.263Z","1.28","0.1","35","0",""
"EV1749684186634DO9JAJ","Student","2","60","1.5","1","0","0","0","62.5","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-11T23:23:06.664Z","1.99","0.51","60","0",""
"EV1749685357913C6DRRL","Student","1","30","0.75","0.5","0","0","0","31.25","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-11T23:42:37.922Z","1.14","0.11","30","0",""
"EV1749690861477SU7RQQ","Family Of 4 -(2 adults and 2 kids)","4","200","5","2","0","0","0","207","cancelled","cancelled","Auckland Malayali Samajam Onaghosham 2025","Auckland Malayali Samajam","","2025-06-12T01:14:21.513Z","5.89","1.11","200","0",""
"EV1749690954131OJ7S2I","Family Of 4 -(2 adults and 2 kids)","4","200","5","2","0","0","0","207","paid","confirmed","Auckland Malayali Samajam Onaghosham 2025","Auckland Malayali Samajam","","2025-06-12T01:15:54.163Z","5.89","1.11","200","0",""
"EV17496930891815BBACQ","Family Of 4 -(2 adults and 2 kids)","4","200","5","2","0","0","0","207","paid","confirmed","Auckland Malayali Samajam Onaghosham 2025","Auckland Malayali Samajam","","2025-06-12T01:51:29.214Z","5.89","1.11","200","0",""
"EV1749693773420XJI49C","Family Of 4 -(2 adults and 2 kids)","5","200","5","2.5","0","0","0","207.5","paid","confirmed","Auckland Malayali Samajam Onaghosham 2025","Auckland Malayali Samajam","","2025-06-12T02:02:53.452Z","5.9","1.6","200","0",""
"EV174969519871018P03H","Student","6","195","4.88","3","0","0","0","202.88","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-12T02:26:38.739Z","5.78","2.1","195","0",""
"EV1749695997778VQ9HCU","General Admission","4","140","3.5","2","0","0","0","145.5","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-12T02:39:57.813Z","4.23","1.27","140","0",""
"EV17496994651882W141X","Student","1","30","0.75","0.5","0","0","0","31.25","cancelled","cancelled","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-12T03:37:45.196Z","1.14","0.11","30","0",""
"EV1749699895489MFHCFJ","General Admission","3","100","2.5","1.5","0","0","0","104","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-12T03:44:55.493Z","3.11","0.89","100","0",""
"EV1749701789919M56CDW","General Admission","2","70","1.75","1","0","0","0","72.75","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-12T04:16:29.940Z","2.26","0.49","70","0",""
"EV1749702493654VJXI0B","Family Of 4 -(2 adults and 2 kids)","4","140","3.5","2","0","0","0","145.5","paid","confirmed","Auckland Malayali Samajam Onaghosham 2025","Auckland Malayali Samajam","","2025-06-12T04:28:13.686Z","4.23","1.27","140","0",""
"EV1749703264356QFG169","General Admission","1","35","0.88","0.5","0","0","0","36.38","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-12T04:41:04.362Z","1.28","0.1","35","0",""
"EV174970366838492ILOD","Family Of 4 -(2 adults and 2 kids)","4","140","3.5","2","0","0","0","145.5","paid","confirmed","Auckland Malayali Samajam Onaghosham 2025","Auckland Malayali Samajam","","2025-06-12T04:47:48.419Z","4.23","1.27","140","0",""
"EV1749705297282HIQ0DS","General Admission","1","35","0.88","0.5","0","0","0","36.38","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-12T05:14:57.309Z","1.28","0.1","35","0",""
"EV1749706675564KYWP5L","General Admission","8","280","7","4","0","0","0","291","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-12T05:37:55.597Z","8.16","2.84","280","0",""
"EV17497125184020C7Z7M","Individual Member Pass","4","196","4.9","2","0","0","0","202.9","paid","confirmed","Auckland Malayali Samajam Onaghosham 2025","Auckland Malayali Samajam","","2025-06-12T07:15:18.429Z","5.78","1.12","196","0",""
"EV1749715051769C3BHRR","Student","1","30","0.75","0.5","0","0","0","31.25","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-12T07:57:31.804Z","1.14","0.11","30","0",""
"EV1749715725694NYF8B6","General Admission","1","35","0.88","0.5","0","0","0","36.38","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-12T08:08:45.725Z","1.28","0.1","35","0",""
"EV17497161736982WH5GP","Student","1","30","0.75","0.5","0","0","0","31.25","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-12T08:16:13.729Z","1.14","0.11","30","0",""
"EV17497218155136RRY0C","Student","3","90","2.25","1.5","0","0","0","93.75","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-12T09:50:15.547Z","2.83","0.92","90","0",""
"EV17497236879035ZOEOI","Family Of 4 -(2 adults and 2 kids)","4","140","3.5","2","0","0","0","145.5","paid","confirmed","Auckland Malayali Samajam Onaghosham 2025","Auckland Malayali Samajam","","2025-06-12T10:21:27.924Z","4.23","1.27","140","0",""
"EV17497246976514VMEZN","Individual Member Pass","4","147","3.68","2","0","0","0","152.68","paid","confirmed","Auckland Malayali Samajam Onaghosham 2025","Auckland Malayali Samajam","","2025-06-12T10:38:17.661Z","4.42","1.26","147","0",""
"EV1749724865132XOJHZJ","Family Of 4 -(2 adults and 2 kids)","4","140","3.5","2","0","0","0","145.5","paid","confirmed","Auckland Malayali Samajam Onaghosham 2025","Auckland Malayali Samajam","","2025-06-12T10:41:05.153Z","4.23","1.27","140","0",""
"EV1749726352779OU1VHN","General Admission","1","35","0.88","0.5","0","0","0","36.38","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-12T11:05:52.813Z","1.28","0.1","35","0",""
"EV1749727323897JMN4Z1","General Admission","5","175","4.38","2.5","0","0","0","181.88","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-12T11:22:03.905Z","5.21","1.67","175","0",""
"EV17497317850544JUAZQ","General Admission","2","70","1.75","1","0","0","0","72.75","cancelled","cancelled","Naadan Vibe NZ","Karnival Lights and Shelz Media
","CHRISTCHURCH","2025-06-12T12:36:25.065Z","2.26","0.49","70","0",""
"EV17497320102577849L3","General Admission","2","70","1.75","1","0","0","0","72.75","cancelled","cancelled","Naadan Vibe NZ","Karnival Lights and Shelz Media
","CHRISTCHURCH","2025-06-12T12:40:10.260Z","2.26","0.49","70","0",""
"EV1749732118006AVYD7D","General Admission","3","105","2.63","1.5","0","0","0","109.13","failed","failed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-12T12:41:58.011Z","3.25","0.88","105","0",""
"EV1749732244351DOZBMN","General Admission","3","105","2.63","1.5","0","0","0","109.13","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-12T12:44:04.356Z","3.25","0.88","105","0",""
"EV1749761543393GA7JR4","Individual Member Pass","3","123","3.08","1.5","0","0","0","127.58","paid","confirmed","Auckland Malayali Samajam Onaghosham 2025","Auckland Malayali Samajam","","2025-06-12T20:52:23.431Z","3.74","0.84","123","0",""
"EV1749763243460MASWVX","Individual Member Pass","3","123","3.08","1.5","0","0","0","127.58","paid","confirmed","Auckland Malayali Samajam Onaghosham 2025","Auckland Malayali Samajam","","2025-06-12T21:20:43.490Z","3.74","0.84","123","0",""
"EV174976701830482WASE","General Admission","1","35","0.88","0.5","0","0","0","36.38","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-12T22:23:38.311Z","1.28","0.1","35","0",""
"EV17497678982772EAYJ2","Student","4","120","3","2","0","0","0","125","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-12T22:38:18.285Z","3.67","1.33","120","0",""
"EV1749768015871ZVO782","Student","2","65","1.63","1","0","0","0","67.63","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-12T22:40:15.877Z","2.13","0.5","65","0",""
"EV1749768090557B8CPWN","General Admission","1","35","0.88","0.5","0","0","0","36.38","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-12T22:41:30.598Z","1.28","0.1","35","0",""
"EV17497683845437ZIGK1","Family Of 4 -(2 adults and 2 kids)","4","140","3.5","2","0","0","0","145.5","paid","confirmed","Auckland Malayali Samajam Onaghosham 2025","Auckland Malayali Samajam","","2025-06-12T22:46:24.572Z","4.23","1.27","140","0",""
"EV1749774936335V4RFF9","Student","1","30","0.75","0.5","0","0","0","31.25","failed","failed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-13T00:35:36.366Z","1.14","0.11","30","0",""
"EV17497750646350O12PB","Student","1","30","0.75","0.5","0","0","0","31.25","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-13T00:37:44.644Z","1.14","0.11","30","0",""
"EV17497756920814SEHPR","General Admission","2","70","1.75","1","0","0","0","72.75","","","Naadan Vibe NZ","Karnival Lights and Shelz Media
","CHRISTCHURCH","2025-06-13T00:48:12.089Z","2.26","0.49","70","0",""
"EV1749775696354SI2AWH","General Admission","2","70","1.75","1","0","0","0","72.75","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","CHRISTCHURCH","2025-06-13T00:48:16.371Z","2.26","0.49","70","0",""
"EV17497766966756KP2TK","Student","3","90","2.25","1.5","0","0","0","93.75","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-13T01:04:56.683Z","2.83","0.92","90","0",""
"EV1749777548684Q40YU2","General Admission","1","35","0.88","0.5","0","0","0","36.38","failed","failed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-13T01:19:08.697Z","1.28","0.1","35","0",""
"EV1749780376713K44MKP","General Admission","1","35","0.88","0.5","0","0","0","36.38","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-13T02:06:16.750Z","1.28","0.1","35","0",""
"EV1749781276947LFH8CI","Student","2","60","1.5","1","0","0","0","62.5","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","CHRISTCHURCH","2025-06-13T02:21:16.989Z","1.99","0.51","60","0",""
"EV1749781895343RWX1NE","General Admission","1","35","0.88","0.5","0","0","0","36.38","cancelled","cancelled","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-13T02:31:35.370Z","1.28","0.1","35","0",""
"EV1749781912322E9VALT","General Admission","1","35","0.88","0.5","0","0","0","36.38","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-13T02:31:52.350Z","1.28","0.1","35","0",""
"EV1749783520024RQRW8F","General Admission","1","35","0.88","0.5","0","0","0","36.38","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-13T02:58:40.060Z","1.28","0.1","35","0",""
"EV17497839750126KC8VG","General Admission","2","65","1.63","1","0","0","0","67.63","cancelled","cancelled","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-13T03:06:15.052Z","2.13","0.5","65","0",""
"EV17497848173347TTBJ4","General Admission","1","35","0.88","0.5","0","0","0","36.38","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-13T03:20:17.360Z","1.28","0.1","35","0",""
"EV1749787099659BUPU66","General Admission","3","100","2.5","1.5","0","0","0","104","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-13T03:58:19.699Z","3.11","0.89","100","0",""
"EV17497892637119X3WHY","Students","4","146","3.65","2","0","0","0","151.65","paid","confirmed","Onam Mega Show 2025 Live with Rimi Tomy – Ponnonam Night","Dadas New zealand","","2025-06-13T04:34:23.752Z","4.39","1.26","146","0",""
"EV1749790638888AHBV8V","General Admission","4","135","3.38","2","0","0","0","140.38","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-13T04:57:18.899Z","4.09","1.29","135","0",""
"EV1749791066199PKWKND","General Admission","1","35","0.88","0.5","0","0","0","36.38","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-13T05:04:26.232Z","1.28","0.1","35","0",""
"EV1749791556730P7H856","Student","4","120","3","2","0","0","0","125","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-13T05:12:36.762Z","3.67","1.33","120","0",""
"EV17497922252396SC894","General Admission","1","35","0.88","0.5","0","0","0","36.38","cancelled","cancelled","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-13T05:23:45.272Z","1.28","0.1","35","0",""
"EV1749792382057E8P8D7","General Admission","1","35","0.88","0.5","0","0","0","36.38","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-13T05:26:22.065Z","1.28","0.1","35","0",""
